Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
1.0694,0.2943,5.6172,2.1042,1.0799,1.1153,6.6938,0.87025,1,0.39099,0.12864,0.31544,0.7,0.0048438,0.010023
1.0136,0.41316,3.2708,2.6779,1.0324,0.92571,5.1473,1.3722,0.25,0.70136,0.4803,0.51033,0.28284,0.0086074,0.019326
0.91475,0.26415,4.9067,2.9296,0.92678,0.99539,4.7653,0.78954,0.25,0.29837,0.29742,0.37049,0.44721,0.0047009,0.0076094
1.101,0.2485,6.5544,2.5875,1.1121,1.6446,7.4004,0.69483,1,0.39949,0.31768,0.44245,0.31623,0.0072685,0.0059565
0.99073,0.31327,4.4501,2.5241,1.0059,1.1725,5.4983,1.0828,0.5,0.59259,0.46651,0.56034,0.53852,0.010732,0.010393
0.97214,0.21704,6.8619,1.4216,0.98626,1.4489,5.9858,0.59657,0.75,0.39789,0.23403,0.39674,0.4899,0.0053769,0.005494
0.9812,0.25375,8.409,1.1639,1.0028,1.3314,6.2666,0.48021,0.625,0.22632,0.27594,0.46057,0.81854,0.0016074,0.0069721
1.128,0.40942,5.0849,2.2109,1.1748,1.5402,8.2993,0.83371,0.25,0.29254,0.22456,0.43522,0.8124,0.017464,0.016914
1.1746,0.33325,5.5188,1.9673,1.2026,1.7903,9.0439,0.92162,0.5,0.32147,0.059334,0.47578,0.61644,0.0072475,0.011459
1.1251,0.21038,6.8115,2.1898,1.1314,2.0087,7.7499,0.66331,0.5,0.45885,0.57587,0.58836,0.5831,0.010105,0.0053585
1.1694,0.2686,6.5516,2.0334,1.1848,1.6645,8.7513,0.69977,0.375,0.32553,0.25128,0.42222,0.53852,0.0071225,0.0076745
0.97615,0.27188,4.6666,1.8194,0.99033,1.2316,5.3627,0.8811,0.25,0.20489,0.27425,0.3326,0.56569,0.0024628,0.0087703
0.9544,0.31577,4.2136,2.4018,0.97936,0.9155,5.7657,0.92678,0.5,0.078081,0.40082,0.49483,0.73485,0.0093046,0.011299
1.195,0.45322,3.2441,2.4293,1.2147,1.6243,7.3526,1.5331,0.25,0.18457,0.41912,0.47974,0.73485,0.011923,0.020852
0.93911,0.34058,3.8961,2.5625,0.96573,0.81704,5.459,1.0469,0.75,0.22297,0.18633,0.39734,0.86023,0.005656,0.012116
1.1814,0.27494,5.8554,2.0109,1.1955,1.8092,8.7725,0.85931,0.75,0.31773,0.43306,0.53178,0.64031,0.0046698,0.0083585
1.0108,0.22917,6.6626,2.417,1.0229,1.2824,6.4808,0.45124,1,0.47188,0.45686,0.57305,0.84853,0.0014893,0.0040638
1.0219,0.23111,7.8999,1.7144,1.0374,1.3866,6.8099,0.54436,0.125,0.37885,0.28812,0.38764,0.37417,0.0087163,0.0041836
1.0137,0.222,7.0044,2.0393,1.0266,1.3619,6.5989,0.6295,0.875,0.36534,0.17465,0.39663,0.7874,0.0057856,0.0049625
0.90946,0.37311,2.8094,2.5535,0.92278,0.37046,4.6705,1.3199,0.25,0.57098,0.21237,0.4253,0.73485,0.0079592,0.014163
1.0489,0.38927,3.1992,2.3491,1.061,0.78843,5.6106,1.3881,0.75,0.24667,0.27398,0.54782,0.67082,0.013743,0.022383
0.94317,0.24553,5.0984,2.4269,0.95294,1.068,5.2655,0.80276,0.25,0.21136,0.40347,0.54034,0.59161,0.0065178,0.0075459
1.1195,0.31283,4.6457,2.1105,1.1321,1.2833,7.1396,1.0361,0.25,0.34113,0.14489,0.50405,0.41231,0.006323,0.012689
0.98824,0.30489,3.9082,1.5555,0.99995,1.1095,5.17,0.99333,0.125,0.76348,0.33379,0.37248,0.65574,0.0030211,0.0053177
1.0489,0.40717,3.1517,2.2845,1.0747,0.94658,5.8302,1.0633,1,0.51783,0.14331,0.31937,0.8124,0.00088565,0.012152
1.1005,0.27045,5.4259,1.7934,1.1107,1.4004,7.1453,0.80493,0.875,0.27307,0.36258,0.44473,0.67082,0.0062912,0.0067156
1.0257,0.22085,8.0192,2.4469,1.0384,1.3513,6.804,0.53112,0.875,0.57535,0.40022,0.44,0.71414,0.0062689,0.004454
0.98035,0.19712,7.0539,1.8066,0.99072,1.326,6.0973,0.5611,0.5,0.26137,0.24721,0.47183,0.67082,0.005181,0.0040207
0.97682,0.22502,7.616,1.8489,0.99315,1.2762,6.3644,0.49998,0.75,0.30217,0.19553,0.32621,0.83666,0.0081176,0.0058843
1.1155,0.45887,2.9182,1.6399,1.1341,0.79454,6.2617,1.5712,0.25,0.38536,0.23438,0.40836,0.70711,0.010908,0.023144
