x,y,z,class
-0.004,-1.032,0.036,Cycling
-0.08,-1.376,0.052,Cycling
-0.156,-1.148,0.016,Cycling
-0.064,-1.168,0.1,Cycling
0.016,-1.14,-0.024,Cycling
-0.08,-1.044,-0.02,Cycling
0.088,-0.996,0.032,Cycling
-0.088,-0.852,0.256,Cycling
-0.144,-1.02,-0.028,Cycling
-0.056,-1.14,0.22,Cycling
-0.336,-1.092,0.164,Cycling
0.228,-1.064,-0.032,Cycling
0.376,-1.096,0.004,Cycling
0.228,-0.86,-0.104,Cycling
-0.14,-1.512,0.636,Cycling
-0.176,-1.02,0.016,Cycling
-0.14,-0.908,0.232,Cycling
-0.044,-0.68,0.032,Cycling
0.084,-0.768,0.264,Cycling
0.012,-0.34,-0.096,Cycling
0.22,-0.732,0.168,Cycling
-0.036,-0.508,-0.048,Cycling
0.136,-0.808,0.252,Cycling
0.148,-0.732,-0.096,Cycling
-0.276,-1.144,0.076,Cycling
-0.244,-0.788,-0.044,Cycling
0,-1.136,0.192,Cycling
-0.512,-0.844,0.136,Cycling
-0.104,-0.76,0.02,Cycling
-0.38,-1.332,0.38,Cycling
-0.212,-0.98,0.08,Cycling
-0.14,-0.908,0.124,Cycling
0.18,-1.144,0.036,Cycling
0.16,-1.284,-0.044,Cycling
0.004,-0.98,-0.028,Cycling
-0.28,-0.872,0.108,Cycling
-0.048,-0.992,0.048,Cycling
-0.088,-0.952,0.212,Cycling
-0.208,-1.068,0.06,Cycling
-0.012,-1.068,0.084,Cycling
-0.144,-0.908,0.06,Cycling
-0.152,-0.808,0.048,Cycling
-0.108,-1.128,0.128,Cycling
-0.06,-1.048,0.076,Cycling
0.076,-1.18,0.076,Cycling
-0.176,-0.98,0.116,Cycling
-0.096,-1.376,0.084,Cycling
-0.164,-1.104,0.148,Cycling
-0.048,-1.14,0.184,Cycling
0.052,-0.98,0.436,Cycling
-0.172,-1.024,0.392,Cycling
-0.06,-1.068,0.244,Cycling
0.256,-1.372,0.104,Cycling
-0.152,-1.012,0.024,Cycling
-0.06,-1.108,0.172,Cycling
-0.092,-1.08,0.18,Cycling
-0.06,-1.308,0.196,Cycling
-0.104,-0.908,0.124,Cycling
-0.032,-1.12,0.088,Cycling
-0.04,-1.204,0.172,Cycling
-0.22,-0.968,0.02,Cycling
0.008,-1.372,0.18,Cycling
-0.012,-1.116,0.252,Cycling
-0.336,-0.936,0.052,Cycling
0.032,-1.092,0.196,Cycling
-0.22,-1.088,0.228,Cycling
-0.3,-1.164,0.008,Cycling
-0.084,-1.548,0.288,Cycling
-0.44,-0.852,0.164,Cycling
0.02,-1.524,0.156,Cycling
-0.072,-0.876,0.156,Cycling
-0.512,-1.16,0.432,Cycling
-0.044,-0.808,-0.04,Cycling
-0.152,-0.876,0.088,Cycling
0.14,-0.84,-0.028,Cycling
-0.236,-1.528,0.172,Cycling
-0.088,-1.096,0.2,Cycling
-0.032,-1.04,0.108,Cycling
-0.184,-1.076,0.112,Cycling
0.012,-1.572,0.276,Cycling
-0.336,-0.96,-0.012,Cycling
-0.116,-1.98,0.324,Cycling
-0.16,-0.952,0.072,Cycling
-0.144,-0.548,0.12,Cycling
-0.056,-0.728,-0.084,Cycling
-0.22,-1.408,0.304,Cycling
0.052,-0.812,-0.004,Cycling
0,-0.96,0.108,Cycling
-0.032,-1.228,0.148,Cycling
-0.272,-0.716,-0.02,Cycling
0.004,-1.08,0.144,Cycling
0.048,-0.852,-0.004,Cycling
-0.136,-1.252,0.056,Cycling
-0.16,-0.916,0.108,Cycling
-0.212,-0.832,0.016,Cycling
0.152,-1.552,0.268,Cycling
-0.308,-0.872,-0.072,Cycling
0.036,-1.46,0.208,Cycling
-0.068,-1,0.18,Cycling
-0.132,-1.024,-0.02,Cycling
-0.1,-0.732,-0.084,Cycling
-0.096,-0.684,0.108,Cycling
-0.176,-0.988,0.104,Cycling
-0.484,-1.18,-0.04,Cycling
-0.236,-1.288,0.24,Cycling
-0.272,-0.864,0.2,Cycling
-0.1,-1.292,0.148,Cycling
-0.112,-0.872,0.084,Cycling
-0.192,-1.38,0.228,Cycling
0.252,-1.2,0.012,Cycling
-0.168,-1.508,0.304,Cycling
0.228,-1.248,0.292,Cycling
-0.016,-0.556,0.024,Cycling
-0.12,-1.14,0.124,Cycling
-0.148,-0.972,-0.096,Cycling
-0.076,-0.824,0.068,Cycling
-0.272,-1.14,0.108,Cycling
