Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
1.0729,0.28114,6.9656,1.6866,1.085,1.4318,6.8681,0.47403,1,0.41951,0.38018,0.60935,0.7,0.0088457,0.0079773
0.97919,0.18618,10.109,1.5551,0.98828,1.444,6.0386,0.38852,0.75,0.086799,0.55132,0.62197,0.5,0.0032019,0.0035603
1.0398,0.20372,17.896,1.3252,1.0529,1.7211,7.1263,0.44201,1,0.21536,0.49723,0.58411,0.4,0.0053713,0.0045275
0.98058,0.14662,16.984,1.5833,0.98799,1.5197,6.4148,0.19729,0.375,0.2936,0.37155,0.42074,0.4,0.0024601,0.0027264
0.93647,0.18651,8.6221,1.6453,0.94668,1.266,5.4898,0.36486,1,0.40414,0.28551,0.44394,0.6,0.0026988,0.0029814
0.89936,0.17919,17.363,1.5489,0.91446,1.517,5.5838,0.16189,0.25,0.083456,0.35209,0.38617,0.2,0.0097534,0.0042607
0.92719,0.19085,8.6651,1.3619,0.9361,1.1127,5.733,0.40776,0.5,0.0080396,0.39511,0.54131,0.4,0.001392,0.0037358
0.97089,0.18536,11.898,1.7109,0.97916,1.3631,5.8826,0.25132,0.625,0.19086,0.20741,0.34297,0.5,0.0072158,0.0043335
1.0142,0.17002,10.441,1.6284,1.0219,1.4928,6.6456,0.29497,1,0.61651,0.21826,0.45376,0.6,0.0079583,0.002772
0.94787,0.17781,11.264,1.6774,0.9562,1.434,5.5494,0.27189,0.75,0.44945,0.3877,0.48823,0.5,0.005347,0.0030849
0.9329,0.4073,5.1222,2.0398,1.0059,1.6214,6.4341,0.66268,0.25,0.52458,0.45653,0.5548,0.34641,0.0047896,0.016809
0.94853,0.064196,25.65,1.4909,0.95017,1.6872,6.1878,0.11646,0.125,0.66434,0.82163,0.73502,0.1,0.0014769,0.00023018
