x,y,z,class
0.06,-1.048,0.104,Standing
0.064,-1.048,0.112,Standing
0.064,-1.052,0.1,Standing
0.064,-1.052,0.112,Standing
0.072,-1.044,0.116,Standing
0.068,-1.044,0.108,Standing
0.056,-1.048,0.128,Standing
0.116,-1.056,0.132,Standing
0.264,-1.008,0.12,Standing
0.088,-1.536,0.304,Standing
-0.2,-0.996,0.06,Standing
-0.18,-0.924,0.256,Standing
-0.128,-0.968,0.268,Standing
-0.084,-0.972,0.332,Standing
-0.1,-0.984,0.312,Standing
-0.128,-0.968,0.312,Standing
-0.092,-0.984,0.284,Standing
-0.08,-0.992,0.312,Standing
-0.112,-0.972,0.316,Standing
-0.08,-0.992,0.3,Standing
-0.108,-0.984,0.304,Standing
-0.108,-0.992,0.28,Standing
-0.112,-0.988,0.288,Standing
-0.092,-1.036,0.3,Standing
-0.136,-0.98,0.312,Standing
-0.152,-0.972,0.308,Standing
-0.108,-0.976,0.304,Standing
-0.12,-0.976,0.308,Standing
-0.108,-0.988,0.284,Standing
-0.136,-1.076,0.364,Standing
-0.028,-1.016,0.244,Standing
0.088,-1.26,0.272,Standing
0.1,-1.04,0.276,Standing
-0.02,-0.976,0.336,Standing
-0.004,-0.964,0.344,Standing
-0.028,-0.976,0.348,Standing
-0.036,-0.976,0.348,Standing
-0.04,-0.956,0.348,Standing
-0.048,-0.952,0.368,Standing
-0.06,-0.972,0.368,Standing
-0.036,-0.96,0.36,Standing
-0.064,-0.964,0.364,Standing
-0.036,-0.98,0.352,Standing
-0.06,-0.964,0.356,Standing
-0.06,-0.96,0.348,Standing
-0.048,-0.98,0.324,Standing
-0.06,-0.972,0.34,Standing
-0.056,-0.964,0.352,Standing
-0.06,-0.98,0.34,Standing
-0.08,-0.948,0.328,Standing
-0.056,-0.976,0.336,Standing
-0.064,-0.972,0.34,Standing
-0.06,-0.964,0.348,Standing
-0.06,-0.968,0.348,Standing
-0.092,-0.956,0.356,Standing
-0.064,-0.968,0.36,Standing
-0.032,-0.976,0.352,Standing
-0.048,-0.972,0.336,Standing
-0.02,-0.976,0.328,Standing
-0.04,-0.992,0.34,Standing
-0.052,-0.968,0.332,Standing
-0.044,-0.976,0.34,Standing
-0.048,-0.968,0.352,Standing
-0.052,-0.988,0.376,Standing
-0.024,-0.964,0.352,Standing
-0.04,-0.972,0.36,Standing
-0.048,-0.972,0.34,Standing
-0.064,-0.972,0.332,Standing
-0.068,-0.968,0.336,Standing
-0.052,-0.968,0.332,Standing
-0.06,-0.968,0.336,Standing
-0.052,-0.968,0.336,Standing
-0.072,-0.972,0.34,Standing
-0.072,-0.972,0.356,Standing
-0.068,-0.972,0.348,Standing
-0.068,-0.964,0.336,Standing
-0.072,-0.956,0.356,Standing
-0.076,-0.976,0.336,Standing
-0.084,-0.96,0.344,Standing
-0.068,-0.98,0.34,Standing
-0.088,-0.964,0.348,Standing
-0.112,-0.98,0.348,Standing
-0.236,-0.936,0.328,Standing
-0.128,-0.936,0.364,Standing
-0.076,-0.972,0.344,Standing
-0.052,-0.968,0.336,Standing
-0.056,-0.98,0.34,Standing
-0.072,-0.972,0.348,Standing
-0.076,-0.972,0.324,Standing
-0.08,-0.98,0.336,Standing
-0.08,-0.976,0.332,Standing
-0.08,-0.972,0.336,Standing
-0.08,-0.976,0.344,Standing
-0.092,-0.976,0.352,Standing
-0.088,-0.972,0.34,Standing
-0.08,-0.972,0.328,Standing
-0.056,-0.972,0.304,Standing
-0.08,-0.976,0.32,Standing
-0.084,-0.984,0.312,Standing
-0.128,-0.948,0.356,Standing
-0.096,-0.956,0.352,Standing
-0.088,-0.968,0.348,Standing
-0.108,-0.964,0.352,Standing
-0.144,-0.98,0.348,Standing
-0.096,-0.98,0.304,Standing
-0.056,-0.964,0.336,Standing
-0.02,-1.232,0.448,Standing
-0.164,-0.944,0.364,Standing
-0.192,-0.968,0.36,Standing
-0.228,-0.932,0.336,Standing
