Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
0.78944,1.0319,1.0894,2.6361,1.1091,0.18693,7.0875,2.6413,1,0.42882,0.14473,0.35407,0.83066,0.038021,0.10233
0.9348,1.612,1.1329,2.0208,1.4228,0.20765,5.0076,2.5807,1,0.39389,0.30502,0.37159,0.9798,0.0083916,0.26083
1.1024,1.1753,1.3132,2.5318,1.3891,0.29258,9.944,3.1996,0.875,0.38916,0.22646,0.42691,1.0677,0.038814,0.14069
0.61566,0.97603,0.87974,2.2075,0.96927,0.096496,4.258,1.7956,1,0.37496,0.22669,0.3806,0.95394,0.023391,0.092809
1.009,1.22,1.2212,1.4975,1.2441,0.17584,7.3588,2.2821,1,0.408,0.28302,0.3307,1.1916,0.038519,0.12709
1.0452,1.2001,1.5116,2.8452,1.3009,0.29194,6.0861,2.5405,0.875,0.37285,0.72092,0.72349,0.93808,0.01246,0.13618
1.1271,1.1425,1.6706,2.7891,1.424,1.1677,8.0099,2.2413,0.875,0.41278,0.3131,0.44955,1.044,0.0069312,0.11281
1.0262,1.4405,1.0357,2.178,1.5836,1.0167,12.342,2.2486,1,0.38958,0.2371,0.32653,1.1533,0.028221,0.17993
1.7209,1.4453,2.3873,1.8287,2.0392,1.3544,21.402,2.2488,1,0.61191,0.17966,0.33715,0.89443,0.0368,0.18657
0.90021,1.155,1.0816,2.6153,1.1881,0.17467,7.7494,2.1822,1,0.72958,0.33239,0.38832,1.3454,0.0439,0.13238
1.0645,1.3905,1.1875,1.7866,1.4619,0.32493,10.454,2.0298,1,0.42102,0.24853,0.39569,1.063,0.045606,0.15358
1.0297,1.1179,1.5589,1.3926,1.2528,0.16784,6.3563,3.0676,0.875,0.39351,0.35367,0.455,0.89443,0.026006,0.13145
1.0214,1.1453,1.466,2.453,1.3058,0.35973,7.4022,2.7072,0.875,0.4027,0.22124,0.4278,0.9434,0.043289,0.13037
1.1051,1.1363,1.4218,2.3607,1.3282,0.36261,8.414,1.9808,1,0.45115,0.32951,0.51145,1.179,0.036139,0.109
0.6481,1.1386,0.8678,2.404,1.0603,0.15166,4.7213,2.1435,1,0.50242,0.1236,0.35284,1.0677,0.04724,0.11683
0.76879,1.2258,0.9118,1.1653,1.2377,0.43752,7.3524,2.0061,1,0.43853,0.27345,0.32585,1.245,0.041456,0.13866
1.1734,1.474,1.3923,1.0949,1.539,0.50994,8.5253,2.5658,1,0.42561,0.24206,0.40018,0.91652,0.019798,0.19263
0.84818,1.1008,1.1413,1.4302,1.2214,0.5532,7.104,2.1929,1,0.4056,0.12867,0.33669,1.118,0.018973,0.098829
1.0237,1.3708,1.2161,2.3994,1.4737,0.75499,8.6657,2.3978,1,0.5452,0.25503,0.43041,1.1916,0.032605,0.14988
1.0041,1.1125,1.4951,1.474,1.2613,0.26957,6.7496,2.1838,1,0.4088,0.070886,0.32567,0.83066,0.01778,0.11132
0.9208,1.1835,1.2875,1.2025,1.2211,0.25403,4.8969,3.1628,0.875,0.351,0.31485,0.43936,0.8124,0.045165,0.13946
0.89557,1.2328,1.1284,1.9862,1.257,0.23416,6.5734,2.4529,1,0.38084,0.25713,0.37292,1.118,0.024902,0.13426
0.80203,1.0047,1.2299,1.6867,1.1308,0.39139,5.9785,2.9341,0.875,0.30884,0.19606,0.3732,0.98489,0.017655,0.11352
1.1258,1.4497,1.4019,2.27,1.5862,0.38787,12.69,2.7099,0.875,0.37195,0.21698,0.34914,1.0247,0.030325,0.21013
1.1562,0.99863,1.6302,1.3559,1.3032,0.37642,8.9938,3.2404,0.875,0.59556,0.22768,0.33958,0.96437,0.021727,0.13974
1.2798,1.0261,1.8895,1.7547,1.4854,0.90616,11.5,2.5699,0.75,0.34043,0.19166,0.41422,0.91104,0.027547,0.099406
0.90074,1.274,1.0885,1.3429,1.2198,0.17458,3.9575,3.5833,0.625,0.35026,0.53942,0.59488,0.8124,0.011145,0.17044
1.1508,1.1079,1.6026,1.6353,1.3583,0.2933,9.5424,3.7587,0.625,0.12724,0.30064,0.39178,0.61644,0.030565,0.17042
0.77136,1.3899,0.76506,2.8448,1.435,0.70456,11.379,4.3134,0.625,0.49068,0.31956,0.38306,1.0392,0.016798,0.24611
0.50401,1.1971,0.86007,1.6664,1.1247,0.27066,5.8938,3.7675,0.5,0.24565,0.39145,0.41725,0.92736,0.047278,0.18598
1.0844,1.379,1.0828,3.2032,1.5239,0.89931,12.576,4.094,0.625,0.090503,0.81341,0.81308,0.76811,0.010659,0.1528
0.8963,1.1046,1.1836,1.8774,1.1593,0.23102,4.511,3.8601,0.5,0.083316,0.12695,0.34366,0.75498,0.02279,0.12601
0.66001,1.5967,0.65512,2.4871,1.2643,0.18366,4.3871,3.7945,0.625,0.44442,0.63071,0.67032,1.0247,0.03116,0.26245
1.1738,1.0033,1.6218,0.74965,1.3116,0.31262,8.235,3.1928,0.625,0.2514,0.088477,0.2709,1.0392,0.012235,0.13365
