Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
1.0756,0.033572,77.416,1.5546,1.076,2.2716,8.02,0.056121,0.375,0.22701,0.21214,0.43099,0.5831,0.0012352,9.15E-05
1.0767,0.028643,226.33,1.4177,1.077,2.2971,8.0839,0.017881,0.875,0.582,0.4793,0.61376,0.5831,0.00089751,6.00E-05
1.0763,0.02671,246.89,3.1675,1.0766,2.2784,8.0576,0.015175,0.75,0.18149,0.6158,0.6207,0.64031,0.00033846,6.17E-05
1.0704,0.025858,134.24,1.3873,1.0707,2.252,7.9665,0.03316,0.375,0.087384,0.57405,0.60623,0.42426,0.0010098,7.23E-05
1.0756,0.031656,100.64,1.3333,1.076,2.2745,8.0042,0.04182,0.875,0.43867,0.22592,0.47957,0.60828,0.0010066,9.06E-05
1.0712,0.01676,136.77,1.456,1.0713,2.2535,7.9858,0.03158,0.375,0.328,0.23489,0.43338,0.3,0.00029762,3.29E-05
1.0737,0.011685,195.64,1.5031,1.0738,2.2754,8.0413,0.022695,0.5,0.090485,0.48884,0.56181,0.4,0.000216,1.42E-05
1.0766,0.010766,211.98,1.6138,1.0766,2.2945,6.9243,0.020305,0.375,0.16345,0.48552,0.51079,0.4,0.00020626,1.28E-05
1.0771,0.012712,172.55,1.529,1.0771,2.2837,8.0722,0.024087,0.375,0.32474,0.15507,0.42351,0.3,0.00036306,1.60E-05
1.0737,0.013293,181.48,1.5304,1.0738,2.2807,8.0305,0.025224,0.25,0.22784,0.31345,0.42762,0.6,0.00036808,1.55E-05
1.0722,0.013604,132.78,1.5658,1.0723,2.2738,8.0061,0.032907,0.25,0.59482,0.756,0.76556,0.3,0.00042596,1.67E-05
1.0745,0.01605,190.29,1.5001,1.0746,2.2858,8.0379,0.021772,0.875,0.028032,0.37432,0.4098,0.6,0.00025836,3.20E-05
1.0713,0.012264,225.86,1.5924,1.0713,2.2744,8.0036,0.018541,1,0.24372,0.44636,0.5998,0.4,0.00031304,1.61E-05
1.0737,0.013558,161.1,1.5336,1.0738,2.2808,8.0288,0.027989,0.125,0.31016,0.36165,0.4426,0.3,6.08E-05,1.99E-05
1.0716,0.017943,224.91,1.4699,1.0718,2.2762,8.0137,0.018137,0.125,0.50593,0.46849,0.45597,0.3,0.00031531,2.68E-05
1.0723,0.032403,90.306,1.4814,1.0727,2.2337,7.9894,0.048059,0.625,0.22007,0.2317,0.36654,0.78102,0.00040729,0.00011777
1.0756,0.021187,88.445,1.3544,1.0758,2.2556,8.0135,0.047723,0.375,0.46347,0.30061,0.38888,0.5,0.00027958,4.49E-05
1.072,0.015469,208.17,1.511,1.0721,2.2746,8.0179,0.021189,0.875,0.21537,0.23807,0.41897,0.6,0.00013254,3.25E-05
1.0756,0.025957,98.903,1.3351,1.0759,2.2758,8.043,0.040898,0.125,0.49873,0.73939,0.72319,0.1,0.00086787,5.73E-05
1.0711,0.022434,134.35,1.4288,1.0713,2.2608,7.9949,0.03069,0.125,0.78524,0.27804,0.35204,0.4,0.00040859,2.51E-05
1.0749,0.024037,122.56,1.441,1.0751,2.2605,8.0243,0.028625,1,0.39324,0.35009,0.47933,0.5,0.00030362,5.11E-05
1.0726,0.022729,173.6,1.5346,1.0728,2.262,7.9987,0.023164,0.5,0.29841,0.33383,0.43553,0.5,0.00037519,2.34E-05
1.0734,0.015737,283.14,1.5641,1.0735,2.2762,8.041,0.014757,0.625,0.23072,0.3467,0.47222,0.4,0.00042109,2.65E-05
1.074,0.045241,70.36,1.3432,1.0748,2.2259,8.0169,0.06236,0.875,0.68568,0.36326,0.53351,0.67082,0.0013403,0.00012695
1.0736,0.012565,249.67,2.3332,1.0737,2.2801,8.0481,0.017614,0.75,0.40312,0.30365,0.48536,0.63246,0.00046175,1.33E-05
